x,y,slope,station,microhabitat,site_name
-3.372900165,37.10097502,N,B11,wet meadow,Haza Mesa
-3.372960261,37.1010373,N,B12,wet meadow,Haza Mesa
-3.37297157,37.10102986,N,B13,wet meadow,Haza Mesa
-3.372952609,37.101030539999996,N,B14,wet meadow,Haza Mesa
-3.372996282,37.10105464,N,B15,wet meadow,Haza Mesa
-3.372939461,37.10108848,N,B16,wet meadow,Haza Mesa
-3.372951857,37.10110877,N,B17,wet meadow,Haza Mesa
-3.372963688,37.10111676,N,B18,wet meadow,Haza Mesa
-3.373021097,37.10116556,N,B19,wet meadow,Haza Mesa
-3.373035539,37.10116424,N,B110,wet meadow,Haza Mesa
-3.37300346,37.10070874,N,B21,wet meadow,Haza Mesa
-3.373045379,37.10066543,N,B22,wet meadow,Haza Mesa
-3.373082742,37.10066599,N,B23,wet meadow,Haza Mesa
-3.373018659,37.10072713,N,B24,wet meadow,Haza Mesa
-3.37299596,37.10067909,N,B25,wet meadow,Haza Mesa
-3.373054244,37.10057611,N,B26,wet meadow,Haza Mesa
-3.372979287,37.10057301,N,B27,wet meadow,Haza Mesa
-3.3729398,37.10058235,N,B28,wet meadow,Haza Mesa
-3.372913479,37.10059235,N,B29,wet meadow,Haza Mesa
-3.372863052,37.10060281,N,B210,wet meadow,Haza Mesa
-3.373772507,37.100001,N,B31,wet meadow,Haza Mesa
-3.373816359,37.09996469,N,B32,wet meadow,Haza Mesa
-3.373770878,37.09994247,N,B33,wet meadow,Haza Mesa
-3.373775664,37.09991388,N,B34,wet meadow,Haza Mesa
-3.373761642,37.09988454,N,B35,wet meadow,Haza Mesa
-3.373745324,37.09984574,N,B36,wet meadow,Haza Mesa
-3.373752031,37.09980568,N,B37,wet meadow,Haza Mesa
-3.373744845,37.09978469,N,B38,wet meadow,Haza Mesa
-3.373751532,37.09974873,N,B39,wet meadow,Haza Mesa
-3.373720317,37.09968777,N,B310,wet meadow,Haza Mesa
-3.229398918,37.07068661,S,B41,wet meadow,Berchules
-3.229398777,37.07070456,S,B42,wet meadow,Berchules
-3.22941935,37.07074476,S,B43,wet meadow,Berchules
-3.229421476,37.0707611,S,B44,wet meadow,Berchules
-3.229383576,37.07077489,S,B45,wet meadow,Berchules
-3.229357826,37.07078967,S,B46,wet meadow,Berchules
-3.22935504,37.0708145,S,B47,wet meadow,Berchules
-3.229416526,37.07080825,S,B48,wet meadow,Berchules
-3.229402624,37.07083307,S,B49,wet meadow,Berchules
-3.229403144,37.07085814,S,B410,wet meadow,Berchules
-3.229667411,37.07026188,S,B51,wet meadow,Berchules
-3.229688145,37.07032503,S,B52,wet meadow,Berchules
-3.229575935,37.07050153,S,B53,wet meadow,Berchules
-3.229695219,37.07038269,S,B54,wet meadow,Berchules
-3.22970803,37.07042343,S,B55,wet meadow,Berchules
-3.229642309,37.07029313,S,B56,wet meadow,Berchules
-3.22959864,37.07028807,S,B57,wet meadow,Berchules
-3.229573609,37.07030985,S,B58,wet meadow,Berchules
-3.229524559,37.07039179,S,B59,wet meadow,Berchules
-3.22949703,37.07038199,S,B510,wet meadow,Berchules
-3.37270331,37.10195835,N,E11,juniper,Haza Mesa
-3.37261217,37.10191891,N,E12,juniper,Haza Mesa
-3.37268102,37.1018556,N,E13,juniper,Haza Mesa
-3.372628212,37.10184237,N,E14,juniper,Haza Mesa
-3.372649064,37.10184427,N,E15,juniper,Haza Mesa
-3.372717035,37.1018822,N,E16,juniper,Haza Mesa
-3.37261993,37.1020072,N,E17,juniper,Haza Mesa
-3.372589744,37.10202859,N,E18,juniper,Haza Mesa
-3.37253213,37.10201794,N,E19,juniper,Haza Mesa
-3.372542458,37.1020056,N,E110,juniper,Haza Mesa
-3.37307785,37.10083547,N,E21,juniper,Haza Mesa
-3.373102513,37.10075699,N,E22,juniper,Haza Mesa
-3.373084806,37.1007422,N,E23,juniper,Haza Mesa
-3.373136651,37.10074752,N,E24,juniper,Haza Mesa
-3.373185973,37.10073956,N,E25,juniper,Haza Mesa
-3.373208047,37.10074705,N,E26,juniper,Haza Mesa
-3.373158624,37.10086709,N,E27,juniper,Haza Mesa
-3.37322725,37.10087054,N,E28,juniper,Haza Mesa
-3.373261232,37.10088121,N,E29,juniper,Haza Mesa
-3.373105506,37.10084778,N,E210,juniper,Haza Mesa
-3.373654198,37.1001589,N,E31,juniper,Haza Mesa
-3.373583104,37.10016525,N,E32,juniper,Haza Mesa
-3.37356571,37.10014067,N,E33,juniper,Haza Mesa
-3.373688875,37.10020649,N,E34,juniper,Haza Mesa
-3.37367295,37.10020967,N,E35,juniper,Haza Mesa
-3.373714764,37.1002231,N,E36,juniper,Haza Mesa
-3.373689427,37.10017668,N,E37,juniper,Haza Mesa
-3.373753607,37.10016689,N,E38,juniper,Haza Mesa
-3.373723622,37.10013132,N,E39,juniper,Haza Mesa
-3.373792181,37.10011977,N,E310,juniper,Haza Mesa
-3.372353906,37.10183374,N,G11,genista,Haza Mesa
-3.37236842,37.10174963,N,G12,genista,Haza Mesa
-3.372381987,37.10177511,N,G13,genista,Haza Mesa
-3.372385787,37.10184989,N,G14,genista,Haza Mesa
-3.372364586,37.10182816,N,G15,genista,Haza Mesa
-3.372436952,37.10181224,N,G16,genista,Haza Mesa
-3.372455374,37.10183124,N,G17,genista,Haza Mesa
-3.372469888,37.10187716,N,G18,genista,Haza Mesa
-3.372487161,37.10188697,N,G19,genista,Haza Mesa
-3.372443622,37.10187372,N,G110,genista,Haza Mesa
-3.372857667,37.10071008,N,G21,genista,Haza Mesa
-3.372903404,37.10068386,N,G22,genista,Haza Mesa
-3.372891097,37.10065574,N,G23,genista,Haza Mesa
-3.372921993,37.10071348,N,G24,genista,Haza Mesa
-3.372893715,37.10075287,N,G25,genista,Haza Mesa
-3.372829734,37.10069371,N,G26,genista,Haza Mesa
-3.372771202,37.10072865,N,G27,genista,Haza Mesa
-3.372717791,37.10077416,N,G28,genista,Haza Mesa
-3.372711468,37.10080512,N,G29,genista,Haza Mesa
-3.372645891,37.10080086,N,G210,genista,Haza Mesa
-3.373738682,37.10010155,N,G31,genista,Haza Mesa
-3.373692536,37.10009161,N,G32,genista,Haza Mesa
-3.373647759,37.10010544,N,G33,genista,Haza Mesa
-3.373604567,37.10007023,N,G34,genista,Haza Mesa
-3.373586337,37.10005354,N,G35,genista,Haza Mesa
-3.373554472,37.10001406,N,G36,genista,Haza Mesa
-3.373469781,37.09999396,N,G37,genista,Haza Mesa
-3.373525658,37.09985898,N,G38,genista,Haza Mesa
-3.373479879,37.0998586,N,G39,genista,Haza Mesa
-3.373384406,37.09990705,N,G310,genista,Haza Mesa
-3.372459879,37.10184732,N,P11,open ground,Haza Mesa
-3.372473927,37.10183316,N,P12,open ground,Haza Mesa
-3.372417642,37.10180441,N,P13,open ground,Haza Mesa
-3.372398638,37.1017619,N,P14,open ground,Haza Mesa
-3.372358909,37.10174535,N,P15,open ground,Haza Mesa
-3.372181954,37.10192684,N,P16,open ground,Haza Mesa
-3.372204249,37.10192821,N,P17,open ground,Haza Mesa
-3.372278987,37.10193052,N,P18,open ground,Haza Mesa
-3.372288736,37.10196709,N,P19,open ground,Haza Mesa
-3.37233255,37.10196901,N,P110,open ground,Haza Mesa
-3.372812975,37.10092191,N,P21,open ground,Haza Mesa
-3.372803617,37.10091959,N,P22,open ground,Haza Mesa
-3.372820415,37.10094441,N,P23,open ground,Haza Mesa
-3.372795476,37.10096509,N,P24,open ground,Haza Mesa
-3.372773693,37.10101051,N,P25,open ground,Haza Mesa
-3.372767955,37.10105025,N,P26,open ground,Haza Mesa
-3.372770945,37.10094152,N,P27,open ground,Haza Mesa
-3.372776743,37.10090578,N,P28,open ground,Haza Mesa
-3.372785858,37.10102995,N,P29,open ground,Haza Mesa
-3.372734409,37.10105023,N,P210,open ground,Haza Mesa
-3.373679342,37.10025238,N,P31,open ground,Haza Mesa
-3.373665467,37.10025797,N,P32,open ground,Haza Mesa
-3.373672483,37.10023337,N,P33,open ground,Haza Mesa
-3.37369306,37.10023157,N,P34,open ground,Haza Mesa
-3.373680141,37.10021167,N,P35,open ground,Haza Mesa
-3.373646907,37.10020425,N,P36,open ground,Haza Mesa
-3.373632703,37.10018505,N,P37,open ground,Haza Mesa
-3.373650483,37.10017129,N,P38,open ground,Haza Mesa
-3.373627537,37.10018444,N,P39,open ground,Haza Mesa
-3.373617547,37.10017221,N,P310,open ground,Haza Mesa
-3.228511894,37.07124519,S,P41,open ground,Berchules
-3.228506881,37.07130029,S,P42,open ground,Berchules
-3.228514259,37.07131879,S,P43,open ground,Berchules
-3.228415176,37.07136277,S,P44,open ground,Berchules
-3.228369923,37.07138644,S,P45,open ground,Berchules
-3.228337403,37.07142856,S,P46,open ground,Berchules
-3.228408007,37.07128887,S,P47,open ground,Berchules
-3.228314085,37.07146461,S,P48,open ground,Berchules
-3.228314329,37.07150747,S,P49,open ground,Berchules
-3.228299939,37.07155057,S,P410,open ground,Berchules
-3.229157929,37.07008537,S,P51,open ground,Berchules
-3.229088271,37.07014199,S,P52,open ground,Berchules
-3.229042188,37.07017706,S,P53,open ground,Berchules
-3.229057973,37.07022451,S,P54,open ground,Berchules
-3.229021113,37.07028692,S,P55,open ground,Berchules
-3.228958009,37.07030134,S,P56,open ground,Berchules
-3.228946398,37.07024768,S,P57,open ground,Berchules
-3.228988533,37.07020215,S,P58,open ground,Berchules
-3.229047421,37.07017382,S,P59,open ground,Berchules
-3.2290583,37.07014118,S,P510,open ground,Berchules
-3.372285065,37.10195478,N,R11,stone,Haza Mesa
-3.372264669,37.10197251,N,R12,stone,Haza Mesa
-3.372234683,37.10202308,N,R13,stone,Haza Mesa
-3.372162211,37.10197009,N,R14,stone,Haza Mesa
-3.372117035,37.10194747,N,R15,stone,Haza Mesa
-3.372206488,37.10190811,N,R16,stone,Haza Mesa
-3.372228755,37.10193435,N,R17,stone,Haza Mesa
-3.372232752,37.10190503,N,R18,stone,Haza Mesa
-3.372149074,37.10196687,N,R19,stone,Haza Mesa
-3.372233708,37.10189323,N,R110,stone,Haza Mesa
-3.372705803,37.10091697,N,R21,stone,Haza Mesa
-3.372682149,37.10090934,N,R22,stone,Haza Mesa
-3.372629108,37.10091664,N,R23,stone,Haza Mesa
-3.372625942,37.10093288,N,R24,stone,Haza Mesa
-3.372604275,37.10098676,N,R25,stone,Haza Mesa
-3.372569991,37.10099129,N,R26,stone,Haza Mesa
-3.372600932,37.10092596,N,R27,stone,Haza Mesa
-3.3726983,37.10100426,N,R28,stone,Haza Mesa
-3.372703871,37.10100755,N,R29,stone,Haza Mesa
-3.372737581,37.10098166,N,R210,stone,Haza Mesa
-3.373685415,37.09972628,N,R31,stone,Haza Mesa
-3.373672512,37.09976728,N,R32,stone,Haza Mesa
-3.373711408,37.09980128,N,R33,stone,Haza Mesa
-3.373665483,37.09981916,N,R34,stone,Haza Mesa
-3.373687989,37.09984437,N,R35,stone,Haza Mesa
-3.37365719,37.09989584,N,R36,stone,Haza Mesa
-3.373642569,37.09989968,N,R37,stone,Haza Mesa
-3.373643682,37.09999044,N,R38,stone,Haza Mesa
-3.373610252,37.09996788,N,R39,stone,Haza Mesa
-3.373666981,37.10002829,N,R310,stone,Haza Mesa
-3.228664073,37.0711065,S,R41,stone,Berchules
-3.228669606,37.07113033,S,R42,stone,Berchules
-3.228653117,37.0711111,S,R43,stone,Berchules
-3.228634584,37.0711023,S,R44,stone,Berchules
-3.22861416,37.07115031,S,R45,stone,Berchules
-3.228557226,37.07115743,S,R46,stone,Berchules
-3.228542373,37.0711796,S,R47,stone,Berchules
-3.228526819,37.0711937,S,R48,stone,Berchules
-3.228557549,37.07121874,S,R49,stone,Berchules
-3.228485728,37.07122836,S,R410,stone,Berchules
-3.22937275,37.07002655,S,R51,stone,Berchules
-3.229316422,37.07001063,S,R52,stone,Berchules
-3.229265677,37.06996354,S,R53,stone,Berchules
-3.229239629,37.06995309,S,R54,stone,Berchules
-3.229117812,37.06998369,S,R55,stone,Berchules
-3.229190409,37.06994721,S,R56,stone,Berchules
-3.229061428,37.06991548,S,R57,stone,Berchules
-3.229011142,37.06987489,S,R58,stone,Berchules
-3.228978177,37.06991794,S,R59,stone,Berchules
-3.228955344,37.0699749,S,R510,stone,Berchules
